Cities	Diseases	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	Growth Rate	OverallLi	Rank City	Mask
Agra	Stroke	13	35	18	43	48	44	33	47	45	51	45	44	47	53	12.56	69.44	24	100001
Ahmedabad	Stroke	16	44	26	56	62	59	49	53	54	70	63	59	66	71	29.18	86.65	5	100002
Aizawl	Stroke	16	39	23	49	59	50	39	55	56	62	57	51	56	61	25.14	98.5	157	100003
Ajmer	Stroke	16	43	23	57	63	57	43	59	54	63	59	54	60	66	14.32	70.46	83	100004
Akola	Stroke	15	41	23	51	61	50	37	54	55	61	54	50	54	58	12.61	87.55	84	100005
Aligarh	Stroke	17	50	31	58	60	62	45	64	65	67	64	61	62	71	9.13	69.61	56	100006
Allahabad	Stroke	17	49	25	58	66	63	47	63	63	72	70	60	66	73	11.16	74.41	38	100007
Alwar	Stroke	14	43	26	53	55	62	45	58	57	67	63	58	61	67	39.32	71.68	144	100008
Amravati	Stroke	18	43	22	57	61	56	43	59	61	65	58	56	58	65	25.2	88.23	68	100009
Amritsar	Stroke	17	41	26	62	58	58	45	66	64	81	72	70	76	79	15.48	77.2	36	100010
Anantapur	Stroke	20	38	24	54	67	57	44	61	59	64	60	55	61	65	20.74	64.28	179	100011
Bareilly	Stroke	15	37	21	50	54	46	37	54	54	58	53	50	58	62	32.02	60.52	52	100012
Bathinda	Stroke	12	28	23	43	65	57	42	49	70	75	64	55	67	69	25.79	69.57	161	100013
Begusarai	Stroke	19	37	26	54	47	69	39	61	69	77	53	55	71	70	46.08	66.23	184	100014
Belgaum	Stroke	17	48	25	57	59	57	42	59	63	64	61	54	56	63	-25.35	73.94	96	100015
Bellary	Stroke	11	36	19	44	48	46	36	49	48	57	49	47	48	53	24.31	67.85	112	100016
Bhagalpur	Stroke	18	52	28	57	67	57	35	56	55	70	65	60	67	75	27.69	64.96	116	100017
Bharatpur	Stroke	15	47	27	67	64	73	54	72	68	79	68	60	73	84	17.92	71.16	183	100018
Bhavnagar	Stroke	16	45	25	52	61	54	42	56	60	65	58	57	62	63	18.22	76.84	76	100019
Bhilwara	Stroke	14	39	21	48	59	48	40	55	56	60	55	51	56	63	19.7	62.71	125	100020
Bhopal	Stroke	21	48	22	58	75	70	43	72	74	78	80	68	78	95	21.06	82.26	17	100021
Bijapur	Stroke	11	50	23	70	100	63	52	73	65	86	74	65	81	87	25.25	50.77	138	100022
Bikaner	Stroke	21	44	25	59	71	61	43	61	63	74	67	61	70	73	15.49	65.92	67	100023
Bokaro	Stroke	18	41	22	46	61	52	35	58	59	63	59	56	62	64	20.57	73.48	110	100024
Bulandshahr	Stroke	17	41	23	55	64	58	41	58	59	62	55	56	57	67	14.81	70.23	205	100025
Chandigarh	Stroke	18	45	29	67	63	68	61	66	68	74	71	63	74	84	17.37	86.43	48	100026
Chandrapur	Stroke	12	36	22	48	60	58	45	60	62	70	61	59	62	74	15.01	81.35	141	100027
Chennai	Stroke	13	42	22	53	61	54	39	57	59	64	66	62	60	67	37.48	90.33	6	100028
Coimbatore	Stroke	18	35	20	45	50	43	30	59	62	52	63	55	59	70	12.58	84.31	23	100029
Cuttack	Stroke	28	50	29	59	82	75	74	57	63	69	55	56	69	69	12.06	84.2	72	100030
Darbhanga	Stroke	21	47	16	61	64	66	44	78	71	81	73	65	73	83	23.83	58.26	155	100031
Davanagere	Stroke	22	37	25	57	57	54	38	59	62	68	57	52	65	71	6.1	76.3	105	100032
Dehradun	Stroke	22	95	25	43	55	47	64	54	100	92	100	100	99	88	24.33	85.24	77	100033
Dewas	Stroke	35	67	22	69	60	37	39	74	72	87	87	66	73	88	23.62	70.53	158	100034
Dhanbad	Stroke	18	40	30	50	63	58	42	60	61	63	62	60	65	67	9.3	75.71	35	100035
Dhule	Stroke	17	37	19	45	56	54	38	59	59	62	62	52	58	67	11.99	74.61	121	100036
Durg	Stroke	16	29	20	62	66	61	49	61	64	70	64	59	67	71	23.66	79.69	173	100037
Erode	Stroke	17	45	22	56	66	58	43	57	59	63	57	53	56	64	16.68	72.96	95	100038
Etawah	Stroke	14	50	20	52	64	52	41	59	63	69	61	60	65	68	21.86	79.99	180	100039
Faridabad	Stroke	19	45	24	54	60	57	43	58	62	67	61	61	64	72	10.89	83.04	27	100040
Farrukhabad	Stroke	12	59	30	69	84	55	60	66	67	80	75	70	76	89	14.66	70.57	170	100041
Firozabad	Stroke	28	73	17	72	57	59	40	63	54	66	50	67	70	65	16.56	74.6	73	100042
Gaya	Stroke	16	38	21	51	66	54	43	61	64	71	64	55	63	69	20.59	66.35	101	100043
Ghaziabad	Stroke	17	43	33	78	46	69	34	58	61	71	66	56	62	78	27.06	85	21	100044
Gorakhpur	Stroke	11	41	25	58	74	52	39	63	70	82	66	68	68	77	-1.73	73.25	66	100045
Gulbarga	Stroke	16	34	23	51	53	56	40	58	65	69	28	19	63	77	8.73	65.65	85	100046
Guntur	Stroke	17	45	21	44	66	52	38	63	60	69	69	63	71	75	-1.51	67.99	63	100047
Gurgaon	Stroke	16	54	23	57	73	69	51	61	58	71	67	59	67	74	10.23	84.44	55	100048
Gwalior	Stroke	18	50	23	57	59	63	43	61	62	70	63	62	66	73	11.39	77.93	42	100049
Hyderabad	Stroke	14	45	25	46	52	53	44	54	54	57	55	47	54	69	21.18	80.96	4	100050
Indore	Stroke	26	55	47	49	70	53	47	66	60	82	69	61	76	79	25.85	82.32	15	100051
Jabalpur	Stroke	14	64	14	60	46	48	44	67	58	71	63	65	68	81	8.67	82.47	41	100052
Jaipur	Stroke	17	47	25	46	46	49	31	55	54	62	50	46	52	63	20.86	76.44	10	100053
Jalandhar	Stroke	15	39	21	46	53	49	36	50	54	55	52	48	52	58	17.1	82.4	57	100054
Jalgaon	Stroke	16	60	24	55	40	61	37	50	58	71	60	50	69	70	10.06	79.73	102	100055
